id_cnpj,cd_cnae_prin,BASE,Atividade,Setor,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
4af1a76ed4a27461a0084d6040753fe1c1b8519eca18c166af8ac3637a80836d,4771701,47,Varejo,Comércio,PR,9.720.812.133.833.730,,964,########,970,0,974,988
b4cbef10dd0edb54ef6de102c10b93cfc811ca42d1e33380f5b2ce429c224127,4711302,47,Varejo,Comércio,BA,9.653.529.361.242.960,,936,########,950,5.114,981,987
1d38978c6b21c90db24b70b6acba7d17a197bf9b3b8a5b99920f4c538e15e4bb,4781400,47,Varejo,Comércio,SP,9.512.474.530.588.780,,954,201.750,950,5.626,979,989
a2b8497646c015dff64b4ed5463bb0ec1a83efbfabc30819380ba5758885680d,4781400,47,Varejo,Comércio,SP,6.379.457.064.733.650,,262,30.000,860,0,419,872
070ef62d1e768aabc7df9250889bd6fb9701f55d7cfb742db06ea30cfc930d5f,1013901,10,Fabricação de produtos alimentícios,Indústria,GO,1.000,,913,290.000,940,0,952,988
7078f341af009e58a55fe407809a4f116699e168f653d361a25b3ef34883ad59,4723700,47,Varejo,Comércio,SP,8.284.961.388.572.450,48.594.665.788.911.000,453,########,780,0,900,971
1c475007d258805cf4ace4b2bce3f9698c5c583d73745ce1b1ea01d066f61539,4789099,47,Varejo,Comércio,SC,50,50,87,25.500,500,12.798,70,650
61b4b1440eec7d2f71d265bb33d62e2f53eb237a66719d9943f069eada75c2fc,500302,50,Transporte aquaviário,Transporte e Logística,,984.946.847.773.294,,922,########,970,0,978,989
09fb208d476a15b223e90781ac95b71fb95c8bc809b8011f01c15f7a6558d03e,4744005,47,Varejo,Comércio,SC,9.943.548.697.490.690,9.593.020.904.634.440,963,132.500,970,0,968,988
608ab3d7e5127c444a3682cba60564f17b499df8a65233e8b60a6827c8d8a198,4635402,46,Atacado,Comércio,SP,7.186.909.836.899.190,8.088.648.782.724.080,682,########,890,56.896,196,983
